Cell line name,Cellosaurus ID,Disease type in Cellosaurus,Subtype in this resource,Public datasets,Omics availability across datasets,Single-agent testing,Number of single-agents,,Number of drug combinations,,,Dataset on ORCESTRA
,,,,,,,Across datasets on PharmacoDB,TCL38 PSet only,TCL38 PSet,SYNERGxDB,DrugComb,
ALL-SIL,CVCL_1805,Childhood T acute lymphoblastic leukemia,T-ALL,"CCLE, GDSC2, GDSC1, CTRPv2, TCL38","rnaseq, microarray, cnv, mutation, acgh, atacseq",Yes,676,173,17,0,0,Yes
CCRF-H-SB2,CVCL_1859,Childhood T acute lymphoblastic leukemia,T-ALL,TCL38,"rnaseq, acgh, atacseq, cnv",Yes,0,173,17,0,0,No
DEL,CVCL_1170,Anaplastic large cell lymphoma,ALCL,"CCLE, GDSC2, CTRPv2, gCSI, GDSC1, TCL38","rnaseq, microarray, cnv, mutation, acgh, atacseq",Yes,785,173,17,0,0,Yes
DERL-2,CVCL_2016,Hepatosplenic T-cell lymphoma,gamma-delta,TCL38,"rnaseq, acgh, atacseq, cnv",Yes,0,173,17,0,0,No
DERL-7,CVCL_2017,Hepatosplenic T-cell lymphoma,gamma-delta,TCL38,"rnaseq, acgh, atacseq, cnv",Yes,0,173,17,0,0,No
DL-40,CVCL_2889,"Anaplastic large cell lymphoma, ALK-negative",ALCL,TCL38,"rnaseq, acgh, atacseq, cnv",Yes,0,173,17,0,0,No
DND-41,CVCL_2022,Childhood T acute lymphoblastic leukemia,T-ALL,"CCLE, GDSC2, GDSC1, CTRPv2, TCL38","rnaseq, microarray, cnv, mutation, acgh, atacseq",Yes,715,173,17,0,0,Yes
H9,CVCL_1240,Mycosis fungoides and Sezary syndrome,CTCL,"GDSC2, GDSC1, TCL38","rnaseq, microarray, cnv, mutation, acgh, atacseq",Yes,440,173,17,0,0,Yes
HH,CVCL_1280,Cutaneous T-cell non-Hodgkin lymphoma,CTCL,"CCLE, GDSC2, CTRPv2, gCSI, GDSC1, TCL38","rnaseq, microarray, cnv, mutation, acgh, atacseq",Yes,623,173,17,0,0,Yes
